,G,AB,SO,SF,HBP,IBB,SH,BB,H,SB,RBI,HR,2B,3B,RunRating
donnech01,450,798,165,6,1,7,2,103,186,5,86,17,36,5,0
donneji01,654,2388,144,0,16,0,24,169,549,173,237,2,56,28,2
donohpe01,346,732,78,0,3,0,42,21,180,1,87,6,17,4,0
donovbi01,459,1302,6,0,6,0,55,77,251,36,93,7,30,11,1
donovdi01,371,694,292,1,10,1,18,78,113,0,64,15,14,0,0
donovpa01,1821,7496,131,0,83,0,101,453,2253,518,736,16,207,75,4
dooinre01,1290,4004,87,0,20,0,92,155,961,133,344,10,139,31,2
doolami01,1728,5977,376,0,34,0,217,370,1376,173,554,15,244,81,3
doranbi02,1453,5131,600,38,10,52,34,709,1366,209,497,84,220,39,4
dorgaje01,131,531,11,0,2,0,0,14,150,0,49,0,22,4,0
dorgami01,715,2924,179,0,4,0,0,118,802,39,346,4,112,34,2
dorsebr01,163,411,73,3,2,7,1,32,92,0,51,9,15,0,0
doschhe01,109,437,33,0,0,0,0,2,98,1,40,0,14,0,0
doughpa01,1233,4558,0,0,54,0,119,378,1294,261,413,17,138,78,3
douglkl01,747,2797,15,0,40,0,62,227,766,84,275,10,85,29,2
douglph01,299,559,115,0,2,0,26,11,90,1,35,2,8,2,0
doumiry01,980,3093,621,26,53,28,3,232,818,12,413,104,191,7,2
douthta01,1074,4127,312,0,33,0,124,443,1201,67,396,29,220,38,3
dowdto01,1320,5511,200,0,22,0,54,369,1492,366,501,24,163,88,4
downeto01,651,2170,172,0,8,0,92,198,520,87,188,7,69,25,1
downial01,409,717,293,2,0,0,53,37,91,0,51,2,12,3,0
downibr01,2344,7853,1127,70,129,55,60,1197,2099,50,1073,275,360,28,4
downsma01,254,527,118,3,11,2,1,40,121,3,66,20,31,1,0
downsre01,241,790,22,0,3,0,25,28,179,13,94,3,30,11,0
dowseto01,160,590,66,0,7,0,0,29,116,7,46,0,12,1,0
doylede01,944,3290,310,22,11,18,44,205,823,38,237,16,113,28,2
doyleja01,1564,6039,132,0,49,0,41,437,1806,516,968,26,315,64,4
doyleji01,137,485,56,0,2,0,21,40,135,19,63,5,25,12,0
doylela01,1766,6509,274,0,53,0,195,625,1887,298,793,74,299,123,4
doziebr01,544,2100,455,23,23,3,10,217,503,56,247,75,116,10,2
drabedo01,412,716,207,2,7,0,66,17,119,0,46,2,17,3,0
drabomo01,591,420,160,1,1,0,22,13,68,0,29,3,10,0,0
drakede01,335,1172,84,0,6,0,34,71,308,43,119,5,50,21,1
dressch01,646,2215,118,0,18,0,83,219,603,30,221,11,123,29,2
drewjd01,1566,5173,1137,44,55,52,19,862,1437,87,795,242,273,48,4
drewst01,1152,4165,874,37,11,33,22,411,1047,41,486,114,240,62,3
driesda01,1732,5479,719,65,28,100,11,761,1464,154,763,153,282,23,4
drillle01,293,896,0,0,18,0,22,114,231,21,100,2,41,10,0
dropowa01,1288,4124,582,23,24,12,22,328,1113,5,704,152,168,22,2
drysddo01,547,1169,370,6,5,0,69,60,218,0,113,29,26,7,0
dubucje01,367,652,63,0,2,0,17,30,150,2,56,4,23,10,0
duceyro01,703,1279,346,14,11,7,8,166,309,22,146,31,78,13,1
dudalu01,638,2089,574,18,44,22,1,280,517,5,318,101,118,3,1
duffech01,508,1943,150,0,11,0,0,180,518,110,281,35,67,33,2
duffych01,212,713,148,4,15,1,8,51,187,41,52,6,30,8,1
duffyfr01,915,2665,342,12,8,7,68,171,619,49,240,26,104,14,1
duffyhu01,1737,7042,211,0,29,0,94,662,2282,574,1302,106,325,119,4
duffyma01,183,633,110,2,7,0,3,31,185,12,85,12,30,6,0
duganjo01,1447,5410,419,0,42,0,177,250,1516,37,571,42,277,46,3
dugglbi01,242,649,0,0,2,0,14,21,107,3,51,6,24,4,0
dukesel01,240,824,197,6,11,3,0,129,199,18,123,31,39,8,1
duncach01,389,1147,316,7,3,7,0,160,295,4,175,55,55,5,1
duncada01,929,2885,677,18,14,20,21,252,617,5,341,109,79,4,1
duncama01,1279,4677,913,33,37,12,50,201,1247,174,491,87,233,37,3
duncapa01,727,2695,164,0,15,0,113,184,827,55,374,23,137,50,2
duncash01,330,885,243,7,7,4,1,97,200,2,144,43,42,0,1
duncave01,311,1100,98,0,13,0,61,121,307,32,97,4,39,12,1
dundogu01,247,833,0,0,8,0,25,64,168,37,62,0,17,6,0
dungasa01,382,1543,29,0,17,0,9,116,464,38,197,3,71,26,1
dunlafr01,965,3974,263,0,7,0,0,283,1159,85,366,41,224,53,4
dunleja01,231,800,0,0,6,0,18,84,193,33,49,2,18,14,0
dunnad01,2001,6883,2379,40,86,122,2,1317,1631,63,1168,462,334,10,4
dunnja01,490,1622,0,0,14,0,53,83,397,55,164,1,54,10,1
dunstsh01,1814,5927,1000,49,41,44,56,203,1597,212,668,150,292,62,4
dunwoto01,295,915,234,7,7,0,6,51,213,13,81,11,48,12,0
durazer01,624,1948,428,18,18,27,0,307,547,7,330,94,108,6,2
durhale01,1067,3587,679,24,9,96,3,444,992,106,530,147,192,40,3
durhara01,1975,7408,1201,68,72,34,55,820,2054,273,875,192,440,79,4
durocle01,1637,5350,480,0,18,0,82,377,1320,31,567,24,210,56,3
durstce01,481,1103,100,0,3,0,38,75,269,7,122,15,39,17,1
duryeje01,144,428,93,0,12,0,0,40,86,17,37,1,13,5,0
dusaker01,413,1035,188,0,0,0,15,142,251,12,106,24,32,6,1
dwyerfr01,394,1252,80,0,6,0,12,70,287,16,136,5,28,21,1
dwyerji01,1328,2761,402,33,12,34,26,402,719,26,349,77,115,17,2
dybzije01,468,909,109,8,9,0,41,70,213,32,93,3,32,5,1
dyckji01,330,983,140,0,7,1,13,131,242,4,114,26,52,5,1
dyeje01,1763,6487,1308,65,63,40,2,597,1779,46,1072,325,363,25,4
dyerdu01,722,1993,415,10,19,49,16,228,441,10,173,30,74,11,1
dykesji01,2282,8046,850,0,115,0,228,958,2256,70,1071,108,453,90,4
dykstle01,1278,4559,503,27,31,50,25,640,1298,285,404,81,281,43,4
dysonja01,443,1066,220,8,6,2,22,100,272,146,76,6,34,21,1
earlebi01,142,465,36,0,6,0,0,63,133,41,74,6,20,12,1
earlho01,123,513,60,0,3,0,0,23,127,20,68,8,15,5,0
earlyja01,747,2208,259,0,11,0,18,281,532,7,264,32,98,23,1
earnsge01,319,704,125,0,2,0,44,20,162,1,70,3,29,4,0
easleda01,1706,5484,935,43,132,22,42,510,1386,114,684,163,287,27,4
easlemi01,1151,3677,696,40,17,46,6,321,1078,20,522,118,189,25,2
eastehe01,322,1129,57,0,9,0,0,112,203,43,92,9,23,15,1
eastelu01,491,1725,293,0,28,0,4,174,472,1,340,93,54,12,1
eastete01,706,2020,49,0,8,0,53,107,607,42,261,8,88,38,1
eatonad02,364,1431,273,5,28,2,11,132,406,40,118,20,67,25,1
echevan01,328,543,104,7,10,0,0,46,152,1,90,21,32,0,0
eckstda01,1311,5041,418,39,143,3,106,376,1414,123,392,35,232,20,4
edench01,226,935,26,0,14,0,0,33,244,0,77,4,56,18,1
edmonji01,2011,6858,1729,65,49,91,10,998,1949,67,1199,393,437,25,4
edwarbr01,591,1675,179,0,8,0,21,190,429,9,241,39,67,20,1
edwarda01,321,640,147,2,4,2,5,55,152,12,73,14,26,2,0
edwardo01,317,906,109,1,9,17,4,53,216,1,87,15,33,0,0
edwarha01,735,2191,264,0,2,0,8,208,613,9,276,51,116,41,1
edwarjo01,1470,4577,635,43,16,118,31,465,1106,15,524,81,202,32,2
edwarmi01,317,879,77,1,5,0,21,32,220,38,49,2,28,4,0
egandi01,917,3080,191,0,6,0,170,291,767,167,292,4,87,29,2
eganto01,373,979,336,5,9,4,11,80,196,2,91,22,25,3,0
eggleda01,576,2546,162,0,0,0,0,48,698,47,242,0,85,31,2
ehmkeho01,429,1009,111,0,0,0,53,26,210,5,73,0,38,6,0
ehretre01,397,1265,124,0,2,0,10,57,274,15,140,4,32,11,1
eichrik01,171,516,51,0,0,0,19,21,121,3,51,0,34,5,0
eisenji01,1422,3995,435,42,8,47,22,324,1160,105,477,52,221,39,2
elberki01,1292,4561,4,0,165,0,119,427,1235,213,535,10,169,56,3
ellerfr01,420,1453,136,0,8,0,89,72,389,12,152,4,58,22,1
ellicjo01,116,487,4,0,0,0,0,19,106,1,2,0,12,0,0
elliobo01,1978,7141,604,0,16,0,66,967,2061,60,1195,170,382,94,4
ellioju01,253,416,121,0,1,0,6,21,68,0,37,4,11,0,0
elliola01,157,437,105,1,3,3,0,45,103,1,56,15,22,2,0
ellioro01,157,402,23,0,3,0,16,19,97,5,44,1,15,5,0
ellisaj01,491,1483,317,15,19,19,21,223,358,0,178,35,61,3,1
ellisdo01,388,489,201,0,0,0,44,27,65,4,23,0,4,0,0
ellisja01,344,554,88,2,5,1,12,36,139,22,35,8,24,3,0
ellisjo01,883,2672,403,30,19,17,4,190,699,6,391,69,116,13,1
ellisma01,1435,5117,801,39,75,20,59,438,1343,82,550,105,257,25,3
ellisru01,555,1985,170,0,10,0,56,216,517,56,199,13,66,30,1
ellsbja01,975,3939,590,29,39,15,15,304,1137,301,417,88,197,38,3
ellswdi01,407,673,322,1,4,0,50,46,59,0,22,0,2,2,0
elshro01,173,404,44,0,1,0,11,31,106,24,39,0,17,3,0
elsteke01,940,2844,562,35,13,39,38,295,648,14,376,88,136,12,2
elybo01,1341,5159,108,0,11,0,136,257,1331,164,656,24,149,68,3
encared01,1353,4808,866,42,76,43,0,575,1281,54,815,268,277,8,4
encarju01,1259,4685,853,41,54,13,27,288,1264,127,667,156,242,46,3
englecl01,836,2822,119,0,25,0,88,271,748,128,318,12,101,39,2
engleda01,594,1643,190,14,3,7,4,120,431,5,181,31,88,13,1
engligi01,240,791,78,0,3,0,9,56,194,5,90,8,22,7,0
engliwo01,1261,4746,536,0,29,0,123,571,1356,57,422,32,236,52,4
ennisde01,1903,7254,719,38,31,23,20,597,2063,45,1284,288,358,69,4
ensbemo01,731,2204,436,15,21,18,8,332,579,22,347,110,102,10,2
epstemi01,907,2854,645,18,70,43,3,448,695,7,380,130,93,16,2
erskica01,360,588,120,3,2,0,31,12,92,0,31,1,11,0,0
erstada01,1654,6024,939,43,37,46,36,475,1697,179,699,124,316,33,4
erwinte01,276,635,60,0,3,0,18,82,150,10,70,11,23,3,0
esaskni01,810,2703,712,23,15,23,9,314,677,18,427,122,120,21,2
escobal02,973,3586,504,20,34,13,60,160,939,145,299,24,142,40,2
escobed01,385,1145,245,9,5,2,10,74,295,6,114,21,75,9,1
escobyu01,1213,4448,568,23,50,16,48,440,1248,33,449,78,210,10,3
esmonji01,461,1540,163,0,1,0,71,136,406,61,162,9,52,34,1
esperdu01,240,739,91,0,4,0,3,40,178,3,83,2,26,9,0
espinal01,942,2478,324,16,16,1,73,76,630,13,201,22,105,9,1
espinda01,622,2128,660,11,53,19,12,167,490,51,213,68,114,12,1
espossa01,560,792,127,8,4,4,21,145,164,7,73,8,27,2,1
espyce01,546,1248,277,10,3,5,20,104,304,103,108,7,43,16,1
essegch01,404,1018,233,9,9,4,7,97,260,0,150,47,45,4,1
essiaji01,710,1855,171,21,6,3,33,231,453,9,207,33,85,3,1
estalbo01,680,2196,246,0,8,0,15,350,620,13,308,44,106,33,1
estalbo02,310,904,290,13,7,11,2,130,195,6,147,48,49,5,1
esterdu01,701,2837,129,0,20,0,0,70,741,55,210,6,120,34,2
estessh01,311,498,166,2,3,0,78,15,79,1,28,4,15,2,0
estrajo01,612,2079,228,26,31,30,5,103,576,0,285,42,129,0,1
etchean01,948,2618,529,19,31,41,20,246,615,13,309,49,101,17,1
ethiean01,1417,4742,922,44,58,66,2,513,1354,29,682,159,301,34,3
ettenni01,937,3320,199,0,12,0,28,480,921,22,526,89,167,25,2
eusebto01,598,1739,324,16,15,15,3,182,479,1,241,30,87,5,1
evansal01,704,2053,206,0,7,0,19,243,514,14,211,13,70,23,1
evansba01,224,501,62,9,1,4,8,41,126,3,41,2,17,3,0
evansda01,2687,8973,1410,90,35,141,34,1605,2223,98,1354,414,329,36,4
evansdw01,2606,8996,1697,77,53,60,52,1391,2446,78,1384,385,483,73,4
evansja01,472,1831,172,0,4,0,0,63,435,0,168,1,70,21,1
evansjo01,733,2043,152,0,3,0,104,212,529,67,210,3,71,31,2
evansni01,177,408,112,4,2,2,0,28,105,0,53,10,30,3,0
evansst01,978,3359,299,0,111,0,64,359,963,86,466,32,175,67,2
everead01,880,2758,455,21,37,14,80,174,668,67,283,40,135,15,2
evereca01,1405,4809,1021,42,87,39,15,442,1304,107,792,202,258,26,4
everibi01,698,2842,85,0,15,0,55,212,902,186,341,11,85,43,3
eversho01,1142,3801,420,2,27,0,65,415,1055,45,565,98,187,41,3
eversjo01,1784,6137,142,0,39,0,256,778,1659,324,538,12,216,70,4
eversto01,110,431,0,0,0,0,0,7,99,0,0,0,6,1,0
ewingbo01,311,872,16,0,10,0,31,33,170,5,58,3,27,7,0
ewingbu01,1315,5363,294,0,9,0,6,392,1625,354,883,71,250,178,4
ewingjo01,133,454,79,0,2,0,0,18,87,18,36,2,6,3,0
ezzelho01,236,742,59,0,4,0,30,48,196,25,61,0,20,8,1
faatzja01,298,1135,33,0,43,0,0,39,274,93,105,3,24,12,1
faberre01,670,1269,479,0,8,0,104,169,170,7,70,3,21,2,0
fabrejo01,646,1827,217,23,4,13,26,114,441,4,211,23,56,5,1
faedole01,174,529,49,5,1,1,6,25,133,1,52,5,17,1,0
faheybi01,383,934,93,7,2,12,14,74,225,9,83,7,26,2,0
faheybr01,189,411,82,1,4,0,11,28,92,5,36,2,18,5,0
fainfe01,1151,3930,261,8,18,3,44,904,1139,46,570,48,213,30,3
faireji01,399,766,122,5,2,11,11,47,180,6,75,7,28,7,0
fairlro01,2442,7184,877,65,40,129,96,1052,1913,35,1044,215,307,33,4
falcope01,325,416,141,1,1,0,43,8,62,1,21,1,5,1,0
falkbi01,1353,4652,279,0,12,0,188,412,1463,47,784,69,300,59,3
falkecy01,332,771,107,0,4,0,43,39,117,7,47,1,11,4,0
fanzoca01,237,588,119,9,6,8,3,74,132,3,94,20,27,0,0
farrasi01,943,3573,269,0,34,0,0,233,905,92,412,18,157,53,2
farredo01,591,1799,120,0,10,0,61,109,467,14,213,10,63,8,1
farredu01,1563,5679,246,0,50,0,48,477,1564,150,912,51,211,123,4
farreja02,884,3613,205,0,5,0,0,197,877,87,370,23,148,55,3
farreja03,226,746,83,0,4,0,26,77,171,20,49,0,33,5,0
farrejo01,353,1489,115,0,0,0,0,35,345,5,132,5,43,15,1
farrejo02,541,2172,0,0,10,0,23,193,567,68,141,4,93,28,2
farreke01,188,676,33,0,0,0,13,40,177,5,55,0,25,4,0
farretu01,590,436,165,0,1,0,20,11,59,0,18,4,7,0,0
fasansa01,427,1109,327,5,47,1,12,72,245,2,140,47,49,0,1
febleca01,506,1656,297,5,32,1,36,163,414,68,146,24,65,18,1
feldemi01,899,2262,217,16,6,8,45,168,564,161,173,14,59,32,2
felixgu01,583,2046,194,0,17,0,47,189,561,28,230,12,91,25,1
felixju01,585,2132,509,23,19,10,7,158,562,49,280,55,105,24,2
felizpe01,1302,4254,663,39,10,18,11,230,1065,13,598,140,209,25,2
fellebo01,570,1282,505,0,3,0,100,100,193,1,99,8,28,13,0
felscha01,749,2812,251,0,24,0,86,207,825,88,446,38,135,64,2
fennefr01,786,3042,78,0,31,0,0,378,781,175,408,34,102,82,3
fergubo01,824,3468,137,0,0,0,0,128,920,15,356,1,104,30,3
ferguch01,257,963,119,0,2,0,0,113,277,22,157,6,37,13,1
fergujo01,1013,3001,607,35,9,64,17,562,719,22,445,122,121,11,2
fermife01,903,2767,147,19,24,4,96,166,718,27,207,4,86,11,1
fernach01,856,2778,338,24,4,21,60,213,666,68,259,40,91,19,1
fernafr01,285,727,231,4,6,9,1,164,145,4,116,39,21,2,0
fernana01,408,1356,142,0,4,0,20,109,336,20,145,16,59,5,1
fernasi01,307,539,209,5,2,0,67,16,98,1,34,1,15,2,0
fernato01,2158,7911,784,61,64,48,67,690,2276,246,844,94,414,92,4
ferraal01,574,1382,286,6,27,12,2,156,358,0,198,51,60,7,1
ferrami01,162,500,61,4,1,2,4,23,116,0,30,2,18,2,0
ferreri01,1884,6028,277,0,10,0,103,931,1692,29,734,28,324,45,3
ferrewe01,548,1176,185,0,0,0,40,129,329,2,208,38,57,12,1
ferriho01,1287,4800,0,0,13,0,137,161,1146,89,550,40,192,89,2
fewstch01,644,1963,264,0,25,0,65,240,506,57,167,6,91,12,1
fickro01,846,2373,386,24,22,19,4,235,613,6,324,69,116,12,1
fieldce01,1470,5157,1316,46,43,76,0,693,1313,2,1008,319,200,7,4
fieldji01,332,1271,0,0,28,0,0,77,292,9,50,10,38,21,1
fieldjo01,341,1319,139,0,8,0,0,124,358,50,176,12,65,32,1
fieldjo02,217,713,235,3,3,0,8,69,167,3,107,34,25,3,0
fieldpr01,1522,5495,1092,56,117,163,0,815,1576,18,984,311,305,10,4
figgich01,1282,4701,832,40,10,6,69,540,1298,341,403,35,188,58,4
finigji01,512,1600,176,11,6,10,21,190,422,8,168,19,74,17,1
finlest01,2583,9397,1299,75,53,69,91,844,2548,320,1167,304,449,124,4
finnelo01,1270,4631,186,0,10,0,63,329,1329,39,494,31,203,85,3
finnne01,321,1044,89,0,10,0,30,68,274,9,102,3,44,5,1
fioremi01,254,556,115,2,3,7,3,124,126,5,50,13,18,1,0
fischmi01,517,941,142,5,5,1,39,92,207,24,68,3,29,6,1
fischwi01,412,1099,66,0,6,0,29,90,301,20,115,10,50,15,1
fishebo01,503,1742,157,0,4,0,82,80,480,48,170,11,61,26,1
fishech01,252,1155,33,0,0,0,0,12,273,6,136,3,28,10,1
fisheja01,401,594,201,2,3,0,45,38,74,1,31,1,11,0,0
fishera01,278,587,88,0,4,0,30,18,105,5,27,2,14,1,0
fiskca01,2499,8756,1386,79,143,105,26,849,2356,128,1330,376,421,47,4
fislewe01,273,1334,17,0,0,0,0,15,414,14,189,2,72,14,1
fitzged01,807,2086,235,5,12,3,22,185,542,9,217,19,82,10,1
fitzgmi02,848,2316,432,22,9,42,28,292,545,31,293,48,95,9,1
fitzped01,251,697,84,0,24,0,34,70,158,22,59,1,35,7,0
fitzsfr01,513,1155,177,0,13,0,58,36,231,0,103,14,35,7,1
flackma01,1411,5252,253,0,32,0,147,474,1461,200,391,35,212,72,4
flagsir01,1218,4139,288,0,53,0,132,467,1202,71,450,40,262,50,3
flahejo01,1047,3372,514,33,19,15,41,175,849,10,395,80,176,3,2
flahepa02,235,624,11,0,1,0,14,40,123,9,70,6,19,13,0
flahery01,355,947,254,4,17,7,9,73,204,4,109,32,36,5,1
flannti01,972,2473,293,24,32,35,32,277,631,22,209,9,77,25,1
flemile01,434,1330,152,0,10,0,6,226,369,7,199,29,69,15,1
fletcar01,1533,5541,348,0,141,0,154,203,1534,159,675,32,238,77,3
fletcda01,1245,3902,399,51,49,31,13,255,1048,2,583,124,214,8,2
fletcel01,1415,4879,495,0,42,0,54,851,1323,32,616,79,228,58,4
fletcsc01,1612,5258,541,36,57,13,111,514,1376,99,510,34,243,38,3
flickel01,1483,5597,0,0,99,0,121,597,1752,330,756,48,268,164,4
flintsi01,760,2913,471,0,1,0,0,54,687,12,295,21,129,34,2
floodcu01,1759,6357,609,33,52,22,72,444,1861,88,636,85,271,44,4
floodti01,231,816,0,0,12,0,36,42,190,23,86,3,26,6,0
floregi01,185,464,61,1,2,2,10,34,121,15,37,2,20,6,0
floreje02,311,937,238,8,8,7,3,58,226,1,127,23,48,4,0
florewi01,242,837,117,4,5,4,3,36,212,1,101,23,40,1,0
floripe01,238,647,185,3,2,1,11,54,129,25,58,10,24,4,0
floweja01,583,1693,139,0,6,0,57,190,433,58,201,16,75,18,1
flowety01,431,1267,464,5,26,1,4,93,283,2,142,46,51,2,1
floydbo01,214,425,99,5,0,1,5,28,93,2,26,0,18,1,0
floydcl01,1621,5319,1064,48,91,87,4,601,1479,148,865,233,340,23,4
flynndo01,1309,3853,320,20,1,58,60,151,918,20,284,7,115,39,1
flynnjo03,149,462,55,0,2,0,20,46,115,8,60,6,14,4,0
fogarji01,751,2880,327,0,33,0,0,351,709,325,320,20,110,55,3
foileha01,608,1455,295,9,2,31,19,170,353,3,166,46,59,10,1
foleycu01,305,1305,83,0,0,0,0,34,373,0,128,6,57,12,1
foleyma01,203,419,61,9,3,6,5,41,94,0,51,12,10,0,0
foleyto02,1108,2708,387,24,7,48,17,232,661,32,263,32,134,20,1
foleywi01,253,982,62,0,0,0,0,20,224,0,76,0,23,10,1
foliti01,1696,6047,399,57,35,29,169,265,1515,81,501,25,241,20,3
fondyde01,967,3502,526,23,7,11,24,203,1000,84,373,69,144,47,2
fonsele01,937,3404,199,0,23,0,111,186,1075,64,485,31,203,50,3
fontemi01,582,1413,289,15,11,11,7,140,374,17,163,27,86,13,1
fonvich01,226,546,77,0,1,2,10,45,133,30,31,0,10,2,0
footeba01,687,2127,287,17,10,29,10,136,489,10,230,57,103,10,1
forceda01,1029,4251,267,0,0,0,0,156,1060,33,373,1,141,27,3
fordcu01,406,742,126,9,2,3,3,66,182,36,89,7,37,8,0
fordda01,1153,4163,722,38,47,19,31,303,1123,61,566,121,214,38,3
fordho01,1446,4833,354,0,24,0,177,351,1269,21,494,16,200,55,2
fordle01,519,1585,249,12,37,5,7,154,425,48,176,35,83,10,1
fordru01,204,506,66,0,2,0,26,34,106,14,37,1,17,8,0
fordte01,240,711,134,7,3,2,9,51,156,7,68,17,26,2,0
fordwh01,500,1023,224,4,3,0,65,113,177,3,69,3,19,0,0
fordybr01,623,1807,295,11,17,6,19,119,467,8,188,41,103,4,1
foremfr01,243,754,109,0,9,0,7,62,169,18,73,9,23,15,1
forscbo01,509,893,249,5,1,0,115,27,190,3,84,12,45,8,0
forstto01,180,666,12,0,4,0,0,49,131,9,40,1,15,4,0
forsylo01,491,1526,326,14,29,7,5,139,384,28,151,35,73,8,1
fossera01,924,2957,363,20,18,35,28,203,758,15,324,61,117,13,1
fosteed02,1500,5652,255,0,25,0,112,528,1490,195,451,6,191,71,4
fostege01,1977,7023,1419,68,52,106,3,666,1925,51,1239,348,307,47,4
fostepo01,262,924,0,0,8,0,6,76,260,17,137,10,36,20,1
fostero01,337,1016,146,6,20,8,1,110,257,9,118,45,51,1,1
fothebo01,1106,3269,177,0,20,0,88,202,1064,42,582,36,225,52,2
fournja01,1530,5208,408,0,89,0,149,587,1631,145,859,136,252,113,4
foutzda01,1135,4533,136,0,12,0,2,300,1253,280,749,31,186,91,4
fowlede01,939,3278,850,12,24,9,41,475,875,114,291,65,170,65,3
fowledi01,226,472,69,0,1,0,14,15,88,0,32,1,10,1,0
foxan01,776,1925,407,7,47,20,18,197,461,74,168,30,65,17,1
foxja02,193,489,106,7,11,1,0,27,116,0,73,20,28,2,0
foxne01,2367,9232,216,48,142,24,208,719,2663,76,790,35,355,112,4
foxpe01,1461,5636,471,0,33,0,107,392,1678,158,694,65,314,75,4
foxxji01,2317,8134,1311,0,13,0,71,1452,2646,87,1922,534,458,125,4
foyjo01,716,2484,405,24,18,17,21,390,615,99,291,58,102,16,2
foytapa01,314,461,126,0,1,0,43,25,82,1,35,1,7,0,0
francbe01,563,1579,325,14,23,2,9,146,400,30,190,50,104,3,1
francje02,1356,4953,990,51,60,46,1,264,1295,52,664,153,266,26,3
francju01,2527,8677,1341,80,38,67,19,917,2586,281,1194,173,407,54,4
francju02,404,996,375,6,8,6,0,81,235,2,152,48,50,4,1
francma01,661,977,158,7,2,18,3,124,261,2,117,22,43,6,1
francte01,708,1731,119,10,5,15,15,65,474,12,143,16,74,6,1
francti01,1719,5121,694,41,32,59,38,544,1395,46,656,125,224,34,3
frandke01,514,1246,128,6,36,5,11,64,322,7,110,15,57,5,1
frankch01,120,483,21,0,5,0,0,62,144,22,59,5,18,10,0
frankfr02,421,636,65,0,2,0,35,38,132,1,58,1,22,1,0
frankhe01,188,403,37,0,3,0,10,57,80,2,43,3,18,2,0
frankni01,174,551,182,3,1,1,1,55,112,9,58,16,26,3,0
frasech01,458,1316,34,0,7,0,38,81,235,19,96,3,34,13,1
frazilo01,309,548,95,2,6,0,11,59,138,58,46,1,16,3,0
frazito01,633,2281,531,18,33,7,3,189,586,43,324,108,125,11,2
fredejo01,805,3102,176,0,26,0,26,210,954,23,377,85,200,35,2
freedro01,344,717,166,7,4,5,5,95,176,1,109,22,27,2,0
freehbi01,1774,6073,753,48,114,67,38,626,1591,24,758,200,241,35,4
freelry01,594,1983,350,2,43,1,21,222,532,143,122,22,100,17,2
freembu01,1126,4208,2,0,66,0,73,272,1235,92,713,82,199,131,3
freemfr01,751,2709,643,24,35,25,0,329,771,13,424,104,163,8,2
freemje01,173,579,0,0,4,0,13,40,142,9,48,1,15,6,0
freesda01,721,2453,600,17,42,3,4,220,677,8,348,68,133,5,2
freesge02,1115,3446,535,27,20,28,48,243,877,51,432,115,161,28,2
fregoji01,1902,6523,1097,53,32,48,79,715,1726,76,706,151,264,78,4
freigho01,579,1974,161,0,6,0,58,138,537,32,226,15,99,25,1
frencji01,234,607,78,5,1,10,7,121,119,3,51,5,17,4,0
frencla01,570,1057,210,0,4,0,84,48,199,3,84,1,27,5,0
frencwa01,397,981,62,0,5,0,41,44,297,13,109,2,45,12,1
freylo01,1535,5517,525,0,28,0,105,752,1482,105,549,61,263,69,4
friaspe01,724,1346,136,11,5,14,36,49,323,12,108,1,49,8,1
fribebe01,1299,4169,498,0,16,0,139,471,1170,51,471,38,181,44,3
fridlji01,152,424,83,1,3,0,5,35,105,3,53,8,12,5,0
frielbi01,283,994,0,0,5,0,29,60,244,23,80,6,33,17,1
frienbo01,602,1137,375,2,0,0,120,38,138,0,60,2,16,2,0
frienow01,208,598,109,0,2,0,15,55,136,2,76,13,24,2,0
friscfr01,2311,9112,272,0,31,0,229,728,2880,419,1244,105,466,138,4
friskem01,158,506,0,0,13,0,11,48,135,7,45,4,15,6,0
fritzha01,149,423,49,0,7,0,22,33,96,6,39,3,13,5,0
frobedo01,268,542,155,2,2,8,6,55,109,13,58,20,21,4,0
frommar01,252,476,59,0,1,0,26,12,77,1,21,0,11,5,0
fryeje01,667,2155,279,21,22,2,41,212,626,56,194,16,135,11,2
frymatr01,1698,6481,1369,78,41,19,15,602,1776,72,1022,223,345,40,4
frymawo01,625,609,177,2,1,0,63,14,84,1,25,2,6,0,0
fuentti01,1499,5566,561,43,33,23,133,298,1491,80,438,45,211,46,3
fukudko01,596,1929,402,18,8,17,14,307,498,29,195,42,111,13,1
fuldsa01,599,1354,227,6,6,4,16,153,308,67,112,12,60,18,1
fullesh01,964,3679,198,0,28,0,7,444,867,260,350,6,97,43,3
fulleve01,325,785,172,6,12,4,7,73,182,6,65,14,33,4,0
fullich01,590,1855,113,0,14,0,23,132,548,46,167,12,92,14,2
fullmbr01,807,2789,373,23,37,33,0,216,778,32,442,114,203,16,2
fulmech01,583,2440,66,0,0,0,0,42,636,14,261,8,70,30,2
fulmech02,252,876,12,0,6,0,0,122,216,76,85,1,37,9,1
fultzda01,644,2393,0,0,20,0,99,201,648,189,223,3,84,26,2
funkli01,273,976,58,0,5,0,34,73,261,29,105,6,47,16,1
furcara01,1614,6477,910,39,22,24,55,643,1817,314,587,113,311,69,4
furilca01,1806,6378,436,24,47,28,59,514,1910,48,1058,192,324,56,4
fusseed01,109,462,0,0,0,0,0,8,124,0,3,1,19,3,0
gabrile02,708,1764,315,10,4,20,17,145,446,20,176,37,64,12,1
gaettga01,2507,8951,1602,104,96,57,32,634,2280,96,1341,360,443,39,4
gagliph01,702,1411,184,15,4,7,12,163,336,5,159,14,50,7,1
gagnegr01,1798,5673,1121,38,40,20,89,367,1440,108,604,111,296,50,4
